nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm4EEj27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2b0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm3EEj27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2a0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm2EEj27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe290 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEj27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe280 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEjNS_12MemSetKernelEJRKhPhRNS_3VecIS2_jEES9_EEclERKNS_7DevOmp5E_l139' uses too much shared data (0x19ec0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm4EEi27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2b0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm3EEi27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2a0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm2EEi27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe290 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEi27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe280 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEiNS_12MemSetKernelEJRKhPhRNS_3VecIS2_iEES9_EEclERKNS_7DevOmp5E_l139' uses too much shared data (0x19ec0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm4EEm27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2e0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm3EEm27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2c0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm2EEm27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2b0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEm27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe290 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEmNS_12MemSetKernelEJRKhPhRNS_3VecIS2_mEES9_EEclERKNS_7DevOmp5E_l139' uses too much shared data (0x19ee0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm4EEl27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2e0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm3EEl27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2c0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm2EEl27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2b0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EEl27BlockSharedMemDynTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe290 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm1EElNS_12MemSetKernelEJRKhPhRNS_3VecIS2_lEES9_EEclERKNS_7DevOmp5E_l139' uses too much shared data (0x19ee0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm4EEj52BlockSharedMemStSameTypeAdressVerificationTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2b0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm3EEj52BlockSharedMemStSameTypeAdressVerificationTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe2a0 bytes, 0xc000 max)

nvlink error   : Entry function '__omp_offloading_811_b0289b__ZNK6alpaka14TaskKernelOmp5ISt17integral_constantImLm2EEj52BlockSharedMemStSameTypeAdressVerificationTestKernelJPbEEclERKNS_7DevOmp5E_l139' uses too much shared data (0xe290 bytes, 0xc000 max)

